window-event,window-open,indoor-temp,time,outdoor-temp
False,False,73.58,155141,61.88
False,False,73.58,155142,61.88
False,False,73.58,155143,61.88
False,False,73.58,155144,61.88
False,False,73.58,155145,60.98
False,False,73.58,155146,60.98
False,False,73.58,155147,60.98
False,False,73.58,155148,60.98
False,False,73.75999999999999,155149,60.98
False,False,73.75999999999999,155150,60.98
False,False,73.75999999999999,155151,60.98
False,False,73.94,155152,60.98
False,False,73.94,155153,60.98
False,False,73.94,155154,60.98
False,False,73.94,155155,60.98
False,False,73.94,155156,60.98
False,False,73.94,155157,60.98
False,False,74.12,155158,60.98
False,False,74.12,155159,60.98
False,False,74.12,155160,60.26
False,False,74.12,155161,60.26
False,False,74.12,155162,60.26
False,False,74.12,155163,60.26
False,False,74.3,155164,60.26
False,False,74.3,155165,60.26
False,False,74.3,155166,60.26
False,False,74.3,155167,60.26
False,False,74.3,155168,60.26
False,False,74.3,155169,60.26
False,False,74.3,155170,60.26
False,False,74.48,155171,60.26
False,False,74.48,155172,60.26
False,False,74.66,155173,60.26
False,False,74.66,155174,60.26
False,False,74.66,155175,59.36
False,False,74.66,155176,59.36
False,False,74.66,155177,59.36
False,False,74.66,155178,59.36
False,False,74.66,155179,59.36
False,False,74.66,155180,59.36
False,False,74.66,155181,59.36
False,False,74.84,155182,59.36
False,False,74.84,155183,59.36
False,False,74.84,155184,59.36
False,False,74.84,155185,59.36
False,False,74.84,155186,59.36
False,False,74.84,155187,59.36
False,False,74.84,155188,59.36
False,False,74.84,155189,59.36
False,False,74.84,155190,58.46
False,False,74.84,155191,58.46
False,False,75.02,155192,58.46
False,False,75.02,155193,58.46
False,False,75.02,155194,58.46
False,False,75.02,155195,58.46
False,False,75.02,155196,58.46
False,False,75.02,155197,58.46
False,False,74.84,155198,58.46
False,False,74.84,155199,58.46
False,False,75.02,155200,58.46
False,False,75.02,155201,58.46
False,False,74.84,155202,58.46
False,False,74.84,155203,58.46
False,False,75.02,155204,58.46
False,False,74.84,155205,57.38
False,False,75.02,155206,57.38
False,False,74.84,155207,57.38
False,False,74.84,155208,57.38
False,False,74.84,155209,57.38
False,False,75.02,155210,57.38
False,False,75.02,155211,57.38
False,False,75.02,155212,57.38
False,False,75.02,155213,57.38
False,False,75.02,155214,57.38
False,False,75.02,155215,57.38
False,False,75.02,155216,57.38
False,False,75.02,155217,57.38
False,False,75.02,155218,57.38
False,False,75.02,155219,57.38
False,False,75.02,155220,56.66
False,False,75.02,155221,56.66
False,False,75.02,155222,56.66
False,False,75.02,155223,56.66
False,False,75.02,155224,56.66
False,False,75.02,155225,56.66
False,False,75.2,155226,56.66
False,False,75.02,155227,56.66
False,False,75.02,155228,56.66
False,False,75.02,155229,56.66
False,False,75.02,155230,56.66
False,False,75.02,155231,56.66
False,False,74.84,155232,56.66
False,False,74.66,155233,56.66
False,False,74.66,155234,56.66
False,False,74.66,155235,56.120000000000005
False,False,74.84,155236,56.120000000000005
False,False,74.66,155237,56.120000000000005
False,False,74.84,155238,56.120000000000005
False,False,74.84,155239,56.120000000000005
False,False,74.84,155240,56.120000000000005
False,False,75.02,155241,56.120000000000005
False,False,75.02,155242,56.120000000000005
False,False,75.2,155243,56.120000000000005
False,False,75.2,155244,56.120000000000005
False,False,75.2,155245,56.120000000000005
False,False,75.2,155246,56.120000000000005
False,False,75.38,155247,56.120000000000005
False,False,75.2,155248,56.120000000000005
False,False,75.02,155249,56.120000000000005
False,False,75.02,155250,55.4
False,False,74.84,155251,55.4
False,False,74.84,155252,55.4
False,False,74.84,155253,55.4
False,False,74.84,155254,55.4
False,False,74.84,155255,55.4
False,False,74.84,155256,55.4
False,False,74.84,155257,55.4
False,False,75.02,155258,55.4
False,False,74.84,155259,55.4
False,False,75.02,155260,55.4
False,False,75.02,155261,55.4
False,False,75.02,155262,55.4
False,False,75.02,155263,55.76
False,False,75.2,155264,55.76
False,False,75.2,155265,55.22
False,False,75.2,155266,55.22
False,False,75.2,155267,55.22
False,False,75.02,155268,55.22
False,False,75.2,155269,55.22
False,False,75.02,155270,55.22
False,False,75.02,155271,55.22
False,False,75.02,155272,55.22
False,False,75.2,155273,55.22
False,False,75.2,155274,55.22
False,False,75.2,155275,55.22
False,False,75.2,155276,55.22
False,False,75.02,155277,55.22
False,False,75.2,155278,55.22
False,False,75.02,155279,55.22
False,False,75.2,155280,54.68
False,False,75.02,155281,54.68
False,False,75.2,155282,54.68
False,False,75.2,155283,54.68
False,False,75.2,155284,54.68
False,False,75.2,155285,54.68
False,False,75.2,155286,54.68
False,False,75.2,155287,54.68
False,False,75.2,155288,54.68
False,False,75.2,155289,54.68
False,False,75.2,155290,54.68
False,False,75.2,155291,54.68
False,False,75.2,155292,54.68
False,False,75.2,155293,54.68
False,False,75.2,155294,54.68
False,False,75.2,155295,54.32
False,False,75.2,155296,54.32
False,False,75.2,155297,54.32
False,False,75.2,155298,54.32
False,False,75.2,155299,54.32
False,False,75.2,155300,54.32
False,False,75.2,155301,54.32
False,False,75.2,155302,54.32
False,False,75.2,155303,54.32
False,False,75.2,155304,54.32
False,False,75.2,155305,54.32
False,False,75.38,155306,54.32
False,False,75.2,155307,54.32
False,False,75.38,155308,54.32
False,False,75.38,155309,54.32
False,False,75.2,155310,53.78
False,False,75.2,155311,53.78
False,False,75.38,155312,53.78
False,False,75.2,155313,53.78
False,False,75.2,155314,53.78
False,False,75.38,155315,53.78
False,False,75.38,155316,53.78
False,False,75.38,155317,53.78
False,False,75.38,155318,53.78
False,False,75.38,155319,53.78
False,False,75.38,155320,53.78
False,False,75.38,155321,53.78
False,False,75.38,155322,53.78
False,False,75.38,155323,53.78
False,False,75.38,155324,53.78
False,False,75.38,155325,53.42
False,False,75.38,155326,53.42
False,False,75.38,155327,53.42
False,False,75.2,155328,53.42
False,False,75.2,155329,53.42
False,False,75.2,155330,53.42
False,False,75.2,155331,53.42
False,False,75.38,155332,53.78
False,False,75.2,155333,53.78
False,False,75.2,155334,53.78
False,False,75.2,155335,53.78
False,False,75.38,155336,53.78
False,False,75.38,155337,53.78
False,False,75.2,155338,53.78
False,False,75.2,155339,53.78
False,False,75.38,155340,53.42
False,False,75.38,155341,53.42
False,False,75.2,155342,53.42
False,False,75.38,155343,53.42
False,False,75.2,155344,53.42
False,False,75.2,155345,53.42
False,False,75.2,155346,53.42
False,False,75.2,155347,53.42
False,False,75.2,155348,53.42
False,False,75.2,155349,53.42
False,False,75.2,155350,53.42
False,False,75.2,155351,53.42
False,False,75.2,155352,53.42
False,False,75.2,155353,53.42
False,False,75.38,155354,53.42
False,False,75.2,155355,53.06
False,False,75.2,155356,53.06
False,False,75.38,155357,53.06
False,False,75.38,155358,53.06
False,False,75.38,155359,53.06
False,False,75.38,155360,53.06
False,False,75.38,155361,53.06
False,False,75.2,155362,53.06
False,False,75.2,155363,53.06
False,False,75.2,155364,53.06
False,False,75.38,155365,53.06
False,False,75.38,155366,53.06
False,False,75.38,155367,53.06
False,False,75.38,155368,53.06
False,False,75.38,155369,53.06
False,False,75.38,155370,52.88
False,False,75.38,155371,52.88
False,False,75.38,155372,52.88
False,False,75.38,155373,52.88
